,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
26,22,이상열,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,22,이상열,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,이상열,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
27,22,조용준,현대,-,3,0,0,0,0,0,0,0,0,0,0,0,22,조용준,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,조용준,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
28,22,황두성,현대,-,1,0,0,0,0,0,0,0,0,0,0,0,22,황두성,현대,-,0,0,0,0,0,-,-,-,0,0.0,0.0,22.0,황두성,현대,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
0,1,김강민,SK,0.500,2,4,4,0,2,0,0,0,2,1,0,0,1,김강민,SK,0.500,0,0,0,1,0,0.500,0.500,1.000,1,0.5,0.0,1.0,김강민,SK,0.500,0.0,0.0,1.0,0.00,0.0,0.00,5.00,0.000,0.8,0.35,2003
1,2,이진영,SK,0.328,128,562,481,81,158,29,6,17,250,70,13,2,2,이진영,SK,0.328,62,1,4,76,6,0.520,0.408,0.928,45,0.364,0.0,2.0,이진영,SK,0.328,52.0,130.0,119.0,1.09,0.0,0.82,3.95,0.191,95.2,0.314,2003
2,3,강혁,SK,0.294,117,219,197,22,58,8,0,4,78,23,5,0,3,강혁,SK,0.294,14,0,3,16,5,0.396,0.350,0.746,12,0.22,0.182,3.0,강혁,SK,0.294,12.0,64.0,59.0,1.08,0.0,0.88,3.62,0.102,25.2,0.257,2003
3,4,김기태,SK,0.292,93,265,236,32,69,7,0,3,85,18,1,1,4,김기태,SK,0.292,27,0,0,30,4,0.360,0.364,0.724,15,0.2,0.227,4.0,김기태,SK,0.292,10.0,75.0,63.0,1.19,0.0,0.90,3.92,0.068,31.4,0.254,2003
4,5,이호준,SK,0.290,133,554,473,86,137,20,1,36,267,102,2,1,5,이호준,SK,0.290,69,4,9,80,6,0.564,0.389,0.953,35,0.313,0.5,5.0,이호준,SK,0.290,57.0,112.0,145.0,0.77,0.0,0.86,3.99,0.275,100.2,0.316,2003
5,6,디아즈,SK,0.285,112,485,439,56,125,26,0,22,217,63,0,4,6,디아즈,SK,0.285,32,1,10,47,11,0.494,0.344,0.838,37,0.215,0.0,6.0,디아즈,SK,0.285,48.0,113.0,158.0,0.72,0.0,0.68,3.38,0.210,72.8,0.278,2003
6,7,조경환,SK,0.285,121,441,376,63,107,20,1,23,198,68,8,1,7,조경환,SK,0.285,45,0,11,103,10,0.527,0.376,0.903,32,0.314,0.2,7.0,조경환,SK,0.285,44.0,73.0,94.0,0.78,0.0,0.44,4.18,0.242,69.5,0.301,2003
