,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,HR홈런,index,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year,OBP출루율,BB볼넷,index,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year,BB/K볼넷/삼진,GO땅볼,ISOP순수장타율,GO/AO땅볼/뜬공
3610,23,24,김광연,KIA,0.000,8,10,10,0,0,0,0,0.0,0,1,0,0,2014,,10.0,11,오지환,LG,0.278,59.0,1,4,121,2,0.443,0.357,0.8,39,0.264,0.0,2015,,,10.0,11,오지환,LG,0.278,56,117.0,124,0.94,9,0.49,4.29,0.165,80.4,0.271,2015,,,,
3611,24,24,김병현,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,11.0,12,나성용,LG,0.274,4.0,0,2,29,2,0.425,0.329,0.754,6,0.25,0.273,2015,,,11.0,12,나성용,LG,0.274,5,11.0,13,0.85,0,0.14,3.94,0.151,9.6,0.254,2015,,,,
3612,25,24,김지훈,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,12.0,13,유강남,LG,0.272,19.0,0,7,55,10,0.405,0.333,0.738,18,0.244,0.167,2015,,,12.0,13,유강남,LG,0.272,20,68.0,81,0.84,4,0.35,3.74,0.133,35.6,0.251,2015,,,,
3613,26,24,김진우,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,13.0,14,황목치승,LG,0.268,2.0,0,0,10,2,0.338,0.284,0.622,4,0.273,0.0,2015,,,13.0,14,황목치승,LG,0.268,4,25.0,18,1.39,2,0.20,3.62,0.07,6.6,0.212,2015,,,,
3614,27,24,김태영,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,14.0,15,이민재,LG,0.267,1.0,0,1,8,0,0.3,0.303,0.603,1,0.286,0.0,2015,,,14.0,15,이민재,LG,0.267,1,8.0,7,1.14,0,0.13,3.68,0.033,2.9,0.211,2015,,,,
3615,28,24,박성호,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,15.0,16,양석환,LG,0.26,18.0,2,0,75,6,0.394,0.293,0.687,21,0.252,0.222,2015,,,15.0,16,양석환,LG,0.26,31,73.0,120,0.61,4,0.24,3.99,0.134,39.1,0.23,2015,,,,
3616,29,24,송은범,KIA,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2014,,16.0,17,이진영,LG,0.256,42.0,4,3,55,10,0.369,0.351,0.72,17,0.25,0.118,2015,,,16.0,17,이진영,LG,0.256,15,87.0,84,1.04,6,0.76,3.89,0.113,39.1,0.25,2015,,,,
3617,0,24,신창호,KIA,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2014,,17.0,18,김용의,LG,0.251,22.0,1,3,38,3,0.292,0.347,0.639,10,0.261,0.462,2015,,,17.0,18,김용의,LG,0.251,6,51.0,39,1.31,1,0.58,4.11,0.041,18.8,0.229,2015,,,,
3618,1,24,심동섭,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,18.0,19,채은성,LG,0.249,14.0,1,5,39,4,0.405,0.318,0.723,7,0.239,0.231,2015,,,18.0,19,채은성,LG,0.249,17,56.0,38,1.47,2,0.36,3.94,0.156,22.4,0.244,2015,,,,
3619,2,24,어센시오,KIA,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2014,,19.0,20,손주인,LG,0.246,20.0,0,2,41,6,0.283,0.307,0.59,14,0.203,0.0,2015,,,19.0,20,손주인,LG,0.246,9,51.0,93,0.55,1,0.49,3.9,0.037,20.5,0.209,2015,,,,
3620,3,24,오두철,KIA,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2014,,20.0,21,이병규,LG,0.243,43.0,2,3,83,4,0.448,0.37,0.818,16,0.175,0.333,2015,,,20.0,21,이병규,LG,0.243,22,48.0,43,1.12,1,0.52,4.23,0.204,39.5,0.279,2015,,,,
3621,4,24,임준섭,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,21.0,22,문선재,LG,0.226,23.0,0,3,54,4,0.368,0.31,0.678,12,0.263,0.143,2015,,,21.0,22,문선재,LG,0.226,19,48.0,63,0.76,1,0.43,4.17,0.142,24.6,0.232,2015,,,,
3622,5,24,임준혁,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,22.0,23,이병규,LG,0.219,5.0,0,0,18,4,0.323,0.255,0.578,1,0.147,0.229,2015,,,22.0,23,이병규,LG,0.219,8,34.0,24,1.42,1,0.28,3.65,0.104,6.7,0.196,2015,,,,
3623,6,24,한승혁,KIA,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,23.0,24,장준원,LG,0.208,1.0,0,0,8,0,0.208,0.231,0.439,1,0.0,0.0,2015,,,23.0,24,장준원,LG,0.208,0,5.0,7,0.71,0,0.13,3.73,0.0,1.4,0.156,2015,,,,
3624,0,1,김태균,한화,0.365,118,508,422,66,154,30,0,18.0,238,84,0,5,2014,,24.0,25,최경철,LG,0.208,14.0,0,8,55,1,0.306,0.291,0.597,6,0.2,0.0,2015,,,24.0,25,최경철,LG,0.208,11,43.0,48,0.90,2,0.25,3.88,0.098,18.5,0.207,2015,,,,
3625,1,2,피에,한화,0.326,119,498,445,61,145,33,2,17.0,233,92,0,12,2014,,25.0,26,박지규,LG,0.205,10.0,0,3,49,1,0.263,0.259,0.522,8,0.17,0.0,2015,,,25.0,26,박지규,LG,0.205,9,49.0,39,1.26,2,0.20,4.07,0.058,11.7,0.182,2015,,,,
3626,2,3,송광민,한화,0.316,103,421,389,52,123,22,2,11.0,182,58,4,2,2014,,26.0,27,박성준,LG,0.2,2.0,0,0,1,0,0.2,0.333,0.533,0,0.5,0.0,2015,,,26.0,27,박성준,LG,0.2,0,1.0,6,0.17,0,2.00,3.42,0.0,1.0,0.2,2015,,,,
3627,3,4,김경언,한화,0.313,89,355,300,43,94,16,3,8.0,140,52,7,4,2014,,27.0,28,김지성,LG,0.143,0.0,0,0,9,1,0.286,0.143,0.429,0,0.125,0.0,2015,,,27.0,28,김지성,LG,0.143,1,7.0,2,3.50,0,0.00,3.81,0.143,0.4,0.136,2015,,,,
3628,4,5,임익준,한화,0.300,6,10,10,2,3,0,0,0.0,3,0,0,0,2014,,28.0,29,윤진호,LG,0.083,0.0,0,0,3,0,0.083,0.083,0.166,0,0.333,0.0,2015,,,28.0,29,윤진호,LG,0.083,0,4.0,4,1.00,0,0.00,4.08,0.0,-0.3,0.058,2015,,,,
3629,5,6,정근우,한화,0.295,125,549,464,91,137,28,5,6.0,193,44,7,3,2014,,29.0,30,최승준,LG,0.077,4.0,0,0,7,0,0.077,0.194,0.271,0,0.111,0.0,2015,,,29.0,30,최승준,LG,0.077,0,7.0,11,0.64,0,0.57,4.35,0.0,0.5,0.107,2015,,,,
3630,6,7,이용규,한화,0.288,104,418,358,62,103,12,4,0.0,123,20,2,1,2014,,0.0,31,김재성,LG,0.000,1.0,0,0,2,0,0.000,0.143,0.143,0,0.0,0.0,2015,,,0.0,31,김재성,LG,0.000,0,3.0,1,3.00,0,0.50,5.14,0.000,-0.2,0.064,2015,,,,
3631,7,8,이시찬,한화,0.286,45,119,105,14,30,4,0,0.0,34,9,3,1,2014,,1.0,31,김재율,LG,0.000,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2015,,,1.0,31,김재율,LG,0.000,0,2.0,1,2.00,0,-,3.33,0.000,-0.3,0.0,2015,,,,
3632,8,8,한상훈,한화,0.286,77,203,175,23,50,8,1,1.0,63,21,4,0,2014,,2.0,31,김지용,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,2.0,31,김지용,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3633,9,10,장운호,한화,0.266,39,70,64,7,17,1,0,1.0,21,7,4,0,2014,,3.0,31,봉중근,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,3.0,31,봉중근,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3634,10,11,이양기,한화,0.264,45,139,125,13,33,5,0,0.0,38,6,1,1,2014,,4.0,31,신승현,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,4.0,31,신승현,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3635,11,12,최진행,한화,0.261,99,328,299,32,78,16,0,12.0,130,45,0,3,2014,,5.0,31,유원상,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,5.0,31,유원상,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3636,12,13,김태완,한화,0.258,89,214,186,26,48,8,0,7.0,77,39,0,1,2014,,6.0,31,이동현,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,6.0,31,이동현,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3637,13,14,정범모,한화,0.253,85,212,186,18,47,10,0,6.0,75,23,5,3,2014,,7.0,31,이준형,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,7.0,31,이준형,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3638,14,15,고동진,한화,0.241,73,213,187,21,45,5,0,1.0,53,14,3,3,2014,,8.0,31,조윤준,LG,0.000,0.0,0,0,4,1,0.000,0.000,0.000,0,0.0,0.0,2015,,,8.0,31,조윤준,LG,0.000,0,4.0,0,-,0,0.00,3.25,0.000,-1.1,0.0,2015,,,,
3639,15,16,김회성,한화,0.236,59,162,140,21,33,8,1,6.0,61,18,3,1,2014,,9.0,31,진해수,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,9.0,31,진해수,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3640,16,17,이희근,한화,0.231,6,14,13,2,3,0,1,0.0,5,2,0,0,2014,,10.0,31,최동환,LG,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,10.0,31,최동환,LG,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3641,17,18,조인성,한화,0.226,75,185,164,16,37,7,0,7.0,65,34,2,3,2014,,0.0,1,이진석,SK,0.500,0.0,0,0,1,0,0.500,0.500,1.000,0,0.0,0.0,2015,,,0.0,1,이진석,SK,0.500,0,0.0,0,-,0,,6.50,0.000,0.1,0.35,2015,0.00,,,
3642,18,19,정현석,한화,0.225,53,118,102,15,23,3,0,3.0,35,6,2,0,2014,,1.0,2,김기현,SK,0.429,2.0,0,0,3,0,0.429,0.556,0.985,1,0.5,0.5,2015,,,1.0,2,김기현,SK,0.429,0,0.0,1,0.00,0,,4.22,0.000,1.8,0.357,2015,0.67,,,
3643,19,20,강경학,한화,0.221,41,103,86,11,19,2,3,1.0,30,7,2,0,2014,,2.0,3,이현석,SK,0.333,0.0,0,0,1,0,1.333,0.333,1.666,0,0.0,0.0,2015,,,2.0,3,이현석,SK,0.333,1,1.0,0,-,0,,3.33,1.000,1.3,0.483,2015,0.00,,,
3644,20,21,이창열,한화,0.190,22,25,21,5,4,2,1,0.0,8,3,0,0,2014,,3.0,3,홍명찬,SK,0.333,0.0,0,0,2,0,0.333,0.333,0.666,0,0.0,0.0,2015,,,3.0,3,홍명찬,SK,0.333,0,0.0,0,-,0,,3.33,0.000,0.3,0.233,2015,0.00,,,
3645,21,22,엄태용,한화,0.176,17,17,17,2,3,1,0,0.0,4,2,0,0,2014,,4.0,5,정의윤,SK,0.320,26.0,0,9,46,6,0.537,0.397,0.934,21,0.351,0.25,2015,,,4.0,5,정의윤,SK,0.320,28,56.0,77,0.73,5,,3.71,0.216,53.2,0.313,2015,0.57,,,
3646,22,23,추승우,한화,0.167,9,10,6,3,1,0,0,0.0,1,0,0,0,2014,,5.0,6,이명기,SK,0.315,35.0,0,11,86,7,0.397,0.368,0.765,45,0.288,0.125,2015,,,5.0,6,이명기,SK,0.315,35,177.0,98,1.81,1,,3.87,0.083,75.4,0.265,2015,0.41,,,
3647,23,24,김민수,한화,0.149,35,78,74,5,11,1,0,0.0,12,5,1,0,2014,,6.0,7,최정민,SK,0.308,1.0,0,0,3,0,0.308,0.357,0.665,1,0.5,0.0,2015,,,6.0,7,최정민,SK,0.308,0,5.0,1,5.00,0,,3.60,0.000,1.5,0.238,2015,0.33,,,
3648,24,25,송주호,한화,0.136,17,26,22,5,3,0,0,0.0,3,2,0,0,2014,,7.0,8,김성현,SK,0.297,31.0,0,7,42,14,0.408,0.357,0.765,34,0.324,0.6,2015,,,7.0,8,김성현,SK,0.297,28,121.0,118,1.03,5,,3.49,0.111,53.3,0.263,2015,0.74,,,
3649,25,26,조정원,한화,0.125,20,58,56,2,7,1,1,0.0,10,6,1,1,2014,,8.0,9,최정,SK,0.295,46.0,2,5,78,6,0.542,0.401,0.943,20,0.326,0.0,2015,,,8.0,9,최정,SK,0.295,34,45.0,74,0.61,10,,4.20,0.247,58.5,0.316,2015,0.59,,,
3650,26,27,전현태,한화,0.100,10,10,10,2,1,0,0,0.0,1,0,0,0,2014,,9.0,10,허웅,SK,0.294,2.0,0,0,3,0,0.353,0.368,0.721,0,0.5,0.333,2015,,,9.0,10,허웅,SK,0.294,1,1.0,8,0.13,0,,3.89,0.059,2.3,0.254,2015,0.67,,,
3651,27,28,노수광,한화,0.000,1,1,1,0,0,0,0,0.0,0,0,0,0,2014,,10.0,11,이재원,SK,0.282,54.0,5,11,85,22,0.427,0.363,0.790,37,0.319,0.0,2015,,,10.0,11,이재원,SK,0.282,36,115.0,156,0.74,11,,3.66,0.145,71.8,0.27,2015,0.64,,,
3652,28,28,박노민,한화,0.000,2,2,2,0,0,0,0,0.0,0,0,0,0,2014,,11.0,12,박정권,SK,0.281,46.0,1,4,119,9,0.477,0.353,0.830,33,0.261,0.5,2015,,,11.0,12,박정권,SK,0.281,44,96.0,102,0.94,5,,4.02,0.196,71.1,0.278,2015,0.39,,,
3653,29,28,박정진,한화,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,12.0,13,나주환,SK,0.268,12.0,0,2,47,9,0.390,0.307,0.697,15,0.179,0.444,2015,,,12.0,13,나주환,SK,0.268,20,70.0,64,1.09,3,,3.94,0.122,25.6,0.236,2015,0.26,,,
3654,0,28,박준혁,한화,0.000,2,2,2,0,0,0,0,0.0,0,0,0,0,2014,,13.0,14,김연훈,SK,0.267,6.0,0,1,18,0,0.333,0.338,0.671,2,0.125,0.167,2015,,,13.0,14,김연훈,SK,0.267,2,11.0,16,0.69,0,,3.99,0.067,7.7,0.235,2015,0.33,,,
3655,1,28,송창식,한화,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,14.0,15,이대수,SK,0.264,6.0,0,1,23,6,0.389,0.325,0.714,4,0.364,0.308,2015,,,14.0,15,이대수,SK,0.264,5,18.0,13,1.38,1,,3.95,0.125,7.5,0.244,2015,0.26,,,
3656,2,28,윤규진,한화,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,15.0,16,조동화,SK,0.261,30.0,0,5,50,2,0.318,0.351,0.669,12,0.185,0.304,2015,,,15.0,16,조동화,SK,0.261,9,78.0,55,1.42,1,,4.13,0.057,34.1,0.237,2015,0.60,,,
3657,3,28,이준수,한화,-,3,1,0,0,0,0,0,0.0,0,0,0,0,2014,,16.0,17,브라운,SK,0.261,66.0,4,7,127,12,0.496,0.360,0.856,31,0.232,0.4,2015,,,16.0,17,브라운,SK,0.261,51,116.0,102,1.14,9,,3.98,0.235,81.7,0.286,2015,0.52,,,
3658,4,28,최설우,한화,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2014,,17.0,18,정상호,SK,0.254,22.0,0,15,80,2,0.430,0.342,0.772,17,0.302,0.111,2015,,,17.0,18,정상호,SK,0.254,24,62.0,66,0.94,5,,3.96,0.176,42.1,0.261,2015,0.28,,,
3659,0,1,박건우,두산,0.342,70,175,158,31,54,12,0,5.0,81,26,2,0,2015,,18.0,19,박진만,SK,0.248,23.0,1,4,21,3,0.331,0.375,0.706,7,0.281,0.154,2015,,,18.0,19,박진만,SK,0.248,7,31.0,48,0.65,1,,4.12,0.083,17.7,0.252,2015,1.10,,,
3660,1,2,김응민,두산,0.333,4,3,3,1,1,0,0,1.0,4,2,0,0,2015,,19.0,20,박재상,SK,0.248,32.0,0,3,53,4,0.396,0.339,0.735,15,0.27,0.231,2015,,,19.0,20,박재상,SK,0.248,21,70.0,66,1.06,5,,4.24,0.148,34.1,0.252,2015,0.60,,,
3661,2,3,고영민,두산,0.328,41,77,67,13,22,1,0,3.0,32,11,0,1,2015,,20.0,21,김강민,SK,0.246,23.0,0,7,83,6,0.345,0.315,0.660,17,0.288,0.0,2015,,,20.0,21,김강민,SK,0.246,21,74.0,65,1.14,5,,3.88,0.099,31.4,0.228,2015,0.28,,,
3662,3,4,김현수,두산,0.326,141,630,512,103,167,26,0,28.0,277,121,0,9,2015,,21.0,22,윤중환,SK,0.240,3.0,0,0,6,0,0.360,0.321,0.681,1,0.2,0.286,2015,,,21.0,22,윤중환,SK,0.240,1,8.0,5,1.60,0,,4.43,0.120,2.9,0.234,2015,0.50,,,
3663,4,5,양의지,두산,0.326,132,513,442,70,144,27,0,20.0,231,93,2,6,2015,,22.0,23,박계현,SK,0.231,20.0,0,4,45,1,0.239,0.294,0.533,14,0.299,0.25,2015,,,22.0,23,박계현,SK,0.231,2,103.0,56,1.84,0,,3.76,0.008,20.2,0.192,2015,0.44,,,
3664,5,6,허경민,두산,0.317,117,453,404,64,128,20,2,1.0,155,41,8,3,2015,,23.0,24,김민식,SK,0.167,2.0,0,0,2,2,0.167,0.231,0.398,1,0.0,0.125,2015,,,23.0,24,김민식,SK,0.167,0,11.0,7,1.57,0,,3.73,0.000,0.1,0.146,2015,1.00,,,
3665,6,7,김재호,두산,0.307,133,488,410,63,126,24,3,3.0,165,50,14,7,2015,,24.0,25,박윤,SK,0.111,0.0,0,1,13,1,0.111,0.143,0.254,1,0.0,0.0,2015,,,24.0,25,박윤,SK,0.111,0,8.0,3,2.67,0,,3.66,0.000,-0.8,0.092,2015,0.00,,,
3666,7,8,민병헌,두산,0.303,129,561,491,80,149,20,2,12.0,209,75,6,6,2015,,25.0,26,김재현,SK,0.105,0.0,0,1,6,0,0.211,0.150,0.361,0,0.0,0.2,2015,,,25.0,26,김재현,SK,0.105,1,8.0,3,2.67,0,,4.10,0.105,1.2,0.12,2015,0.00,,,
3667,8,9,정수빈,두산,0.295,128,570,491,79,145,27,7,2.0,192,59,19,6,2015,,26.0,26,안정광,SK,0.105,0.0,0,0,7,0,0.105,0.105,0.210,0,0.333,0.333,2015,,,26.0,26,안정광,SK,0.105,0,6.0,4,1.50,0,,3.47,0.000,-0.6,0.074,2015,0.00,,,
3668,9,10,오재일,두산,0.289,66,213,180,33,52,11,1,14.0,107,36,1,2,2015,,27.0,28,유서준,SK,0.083,1.0,0,0,3,1,0.083,0.154,0.237,0,0.0,0.0,2015,,,27.0,28,유서준,SK,0.083,0,4.0,4,1.00,0,,4.15,0.000,-0.3,0.09,2015,0.33,,,
3669,10,11,최주환,두산,0.282,100,270,238,34,67,16,2,5.0,102,32,3,1,2015,,28.0,29,고효준,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,28.0,29,고효준,SK,-,0,0.0,0,-,0,,-,-,0.0,0.0,2015,-,,,
3670,11,12,오재원,두산,0.280,120,474,411,60,115,20,2,11.0,172,59,7,4,2015,,29.0,29,박정배,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,29.0,29,박정배,SK,-,0,0.0,0,-,0,,-,-,0.0,0.0,2015,-,,,
3671,12,13,유민상,두산,0.263,15,45,38,5,10,1,0,1.0,14,6,0,1,2015,,0.0,29,박철우,SK,0.000,0.0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2015,,,0.0,29,박철우,SK,0.000,0,1.0,1,1.00,0,-,6.00,0.000,-0.2,0.0,2015,,,,
3672,13,14,홍성흔,두산,0.262,93,352,301,39,79,12,0,7.0,112,46,4,0,2015,,1.0,29,서진용,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,1.0,29,서진용,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3673,14,15,로메로,두산,0.253,76,305,265,30,67,16,0,12.0,119,50,0,7,2015,,2.0,29,신재웅,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,2.0,29,신재웅,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3674,15,16,김재환,두산,0.235,48,180,153,24,36,8,0,7.0,65,22,1,2,2015,,3.0,29,윤길현,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,3.0,29,윤길현,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3675,16,17,정진호,두산,0.234,77,172,154,37,36,5,3,4.0,59,18,3,0,2015,,4.0,29,이재영,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,4.0,29,이재영,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3676,17,18,국해성,두산,0.200,11,26,20,6,4,1,0,1.0,8,5,1,2,2015,,5.0,29,이창욱,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,5.0,29,이창욱,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3677,18,18,류지혁,두산,0.200,14,5,5,3,1,0,0,0.0,1,0,0,0,2015,,6.0,29,이한진,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,6.0,29,이한진,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3678,19,20,장민석,두산,0.189,53,63,53,15,10,2,0,0.0,12,4,1,1,2015,,7.0,29,정우람,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,7.0,29,정우람,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3679,20,21,김진형,두산,0.167,14,21,18,3,3,2,0,1.0,8,2,0,0,2015,,8.0,29,채병용,SK,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2015,,,8.0,29,채병용,SK,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2015,,,,
3680,21,22,최재훈,두산,0.152,71,114,99,6,15,3,0,0.0,18,7,3,1,2015,,0.0,1,유한준,넥센,0.362,67.0,2,2,71,13,0.579,0.430,1.009,62,0.395,1.0,2015,,,0.0,1,유한준,넥센,0.362,66,131.0,138,0.95,9,0.94,4.01,0.217,116.0,0.338,2015,,,,
3681,22,23,양종민,두산,0.125,32,18,16,6,2,0,0,1.0,5,2,0,0,2015,,1.0,2,박병호,넥센,0.343,78.0,6,12,161,10,0.714,0.436,1.150,50,0.375,0.0,2015,,,1.0,2,박병호,넥센,0.343,89,87.0,103,0.84,16,0.48,4.05,0.371,144.7,0.375,2015,,,,
3682,23,24,루츠,두산,0.111,8,30,27,2,3,0,0,1.0,6,3,0,1,2015,,2.0,3,허정협,넥센,0.333,0.0,0,0,3,0,0.333,0.333,0.666,0,0.0,0.0,2015,,,2.0,3,허정협,넥센,0.333,0,1.0,0,-,0,0.00,3.83,0.000,0.6,0.233,2015,,,,
3683,24,25,노경은,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2015,,3.0,3,홍성갑,넥센,0.333,1.0,0,0,4,0,0.333,0.400,0.733,0,0.75,0.4,2015,,,3.0,3,홍성갑,넥센,0.333,0,2.0,0,-,0,0.25,4.70,0.000,1.3,0.263,2015,,,,
3684,25,25,니퍼트,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2015,,4.0,5,이택근,넥센,0.326,44.0,4,3,53,8,0.464,0.402,0.866,26,0.277,0.3,2015,,,4.0,5,이택근,넥센,0.326,27,95.0,90,1.06,2,0.83,4.02,0.138,62.8,0.297,2015,,,,
3685,26,25,양현,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2015,,5.0,6,고종욱,넥센,0.310,25.0,1,6,81,10,0.464,0.358,0.822,37,0.284,0.286,2015,,,5.0,6,고종욱,넥센,0.310,39,110.0,91,1.21,7,0.31,3.85,0.155,60.9,0.277,2015,,,,
3686,27,25,이원재,두산,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2015,,6.0,7,김민성,넥센,0.303,31.0,1,8,62,15,0.465,0.357,0.822,40,0.257,0.333,2015,,,6.0,7,김민성,넥센,0.303,40,120.0,131,0.92,2,0.50,3.94,0.162,68.1,0.277,2015,,,,
3687,28,25,이현승,두산,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2015,,7.0,8,서건창,넥센,0.298,42.0,0,1,24,7,0.429,0.381,0.810,28,0.387,0.5,2015,,,7.0,8,서건창,넥센,0.298,31,112.0,85,1.32,5,1.75,3.66,0.131,51.0,0.279,2015,,,,
3688,29,25,진야곱,두산,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2015,,8.0,9,윤석민,넥센,0.294,37.0,1,8,62,16,0.482,0.366,0.848,30,0.337,0.167,2015,,,8.0,9,윤석민,넥센,0.294,39,108.0,92,1.17,5,0.60,3.82,0.188,60.5,0.285,2015,,,,
3689,0,25,최영진,두산,0.000,1,1,1,0,0,0,0,0.0,0,0,0,0,2015,,9.0,10,김하성,넥센,0.290,56.0,2,5,115,10,0.489,0.362,0.851,42,0.26,0.0,2015,,,9.0,10,김하성,넥센,0.290,59,111.0,143,0.78,4,0.49,4.23,0.200,90.6,0.285,2015,,,,
3690,1,25,함덕주,두산,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2015,,10.0,11,스나이더,넥센,0.281,37.0,0,11,135,2,0.527,0.349,0.876,37,0.21,0.143,2015,,,10.0,11,스나이더,넥센,0.281,53,65.0,115,0.57,4,0.27,4.17,0.246,79.9,0.289,2015,,,,
3691,0,1,이정식,삼성,0.400,5,5,5,0,2,0,0,0.0,2,0,0,0,2015,,11.0,12,강지광,넥센,0.278,2.0,0,1,9,0,0.278,0.381,0.659,1,0.375,0.143,2015,,,11.0,12,강지광,넥센,0.278,0,1.0,3,0.33,0,0.22,3.52,0.000,2.3,0.241,2015,,,,
3692,1,2,배영섭,삼성,0.375,4,18,16,2,6,0,0,0.0,6,2,0,0,2015,,12.0,13,장시윤,넥센,0.276,0.0,0,0,9,1,0.276,0.276,0.552,1,0.286,0.0,2015,,,12.0,13,장시윤,넥센,0.276,0,5.0,7,0.71,0,0.00,3.68,0.000,1.4,0.193,2015,,,,
3693,2,3,구자욱,삼성,0.349,116,465,410,97,143,33,5,11.0,219,57,0,4,2015,,13.0,14,박동원,넥센,0.266,37.0,0,9,93,4,0.414,0.339,0.753,24,0.25,0.0,2015,,,13.0,14,박동원,넥센,0.266,27,106.0,87,1.22,11,0.40,3.72,0.148,58.6,0.256,2015,,,,
3694,3,4,채태인,삼성,0.348,104,373,333,35,116,19,0,8.0,159,49,0,4,2015,,14.0,15,김재현,넥센,0.262,2.0,0,1,15,1,0.354,0.290,0.644,2,0.136,0.0,2015,,,14.0,15,김재현,넥센,0.262,4,15.0,19,0.79,0,0.13,3.72,0.092,6.8,0.219,2015,,,,
3695,4,5,이승엽,삼성,0.332,122,522,470,87,156,28,1,26.0,264,90,0,6,2015,,15.0,16,유재신,넥센,0.259,3.0,0,0,10,2,0.333,0.333,0.666,1,0.375,0.25,2015,,,15.0,16,유재신,넥센,0.259,2,8.0,2,4.00,0,0.30,4.00,0.074,3.9,0.233,2015,,,,
