,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,HR홈런,index,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,year,OBP출루율,BB볼넷,index,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year,BB/K볼넷/삼진,GO땅볼,ISOP순수장타율,GO/AO땅볼/뜬공
182,24,22,윤형국,SK,-,11,1,0,1,0,0,0,0.0,0,0,0,0,2002,,23.0,24,채상병,한화,0.063,0.0,0,1,11,1,0.125,0.091,0.216,0,0.333,0.0,2002,,,23.0,24,채상병,한화,0.063,2,12.0,7,1.71,0,0.00,3.62,0.063,-1.3,0.072,2002,,,,
183,25,22,이대수,SK,-,3,0,0,0,0,0,0,0.0,0,0,0,0,2002,,24.0,25,김대원,한화,0.000,0.0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,2002,,,24.0,25,김대원,한화,0.000,0,0.0,0,-,0,0.00,4.50,0.000,0.2,0.0,2002,,,,
184,26,22,정대현,SK,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,25.0,25,김백만,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,25.0,25,김백만,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
185,27,22,조동화,SK,0.000,4,1,1,1,0,0,0,0.0,0,0,0,0,2002,,26.0,25,김병준,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,26.0,25,김병준,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
186,28,22,조웅천,SK,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,,27.0,25,김장백,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,27.0,25,김장백,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
187,29,22,채병용,SK,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,,28.0,25,김정수,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,28.0,25,김정수,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
188,0,1,조윤채,한화,0.414,21,32,29,9,12,2,0,1.0,17,1,0,0,2002,,29.0,25,김홍집,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,29.0,25,김홍집,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
189,1,2,이영우,한화,0.315,133,564,476,96,150,26,1,24.0,250,52,7,0,2002,,0.0,25,마정길,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,0.0,25,마정길,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
190,2,3,송지만,한화,0.291,131,557,488,84,142,18,2,38.0,278,104,0,2,2002,,1.0,25,박정진,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,1.0,25,박정진,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
191,3,4,강석천,한화,0.289,94,266,242,27,70,11,1,6.0,101,28,1,1,2002,,2.0,25,방진호,한화,-,0.0,0,0,0,0,-,-,-,0,0.0,0.0,2002,,,2.0,25,방진호,한화,-,0,0.0,0,-,0,-,-,-,0.0,0.0,2002,,,,
