,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
67,4,26,이상훈,LG,0.000,2,1,1,0,0,0,0,0.0,0,0,0,0,2002,44.0,0,5,65,13,0.403,0.349,0.752,40,0.244,0.0,36,152.0,135,1.13,0,0.68,3.59,0.115,67.3,0.258
68,5,26,최창호,LG,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,31.0,0,3,65,10,0.322,0.324,0.646,30,0.19,0.375,16,143.0,117,1.22,0,0.48,3.75,0.047,45.7,0.226
69,6,26,케펜,LG,-,1,0,0,0,0,0,0,0.0,0,0,0,0,2002,26.0,1,6,66,5,0.434,0.330,0.764,27,0.295,0.167,32,83.0,121,0.69,0,0.39,3.67,0.160,52.7,0.257
70,7,26,퀸란,LG,0.000,13,28,21,0,0,0,0,0.0,0,0,1,0,2002,10.0,1,0,31,4,0.372,0.305,0.677,6,0.167,0.429,9,52.0,38,1.37,0,0.32,3.77,0.110,17.0,0.23
71,0,1,장성호,KIA,0.343,133,586,481,82,165,29,0,19.0,251,95,2,8,2002,50.0,3,5,123,11,0.499,0.339,0.838,24,0.32,0.0,46,98.0,89,1.10,0,0.41,4.06,0.243,70.0,0.277
72,1,2,황성기,KIA,0.333,2,3,3,0,1,0,0,0.0,1,0,0,0,2002,16.0,1,2,43,4,0.394,0.324,0.718,9,0.35,0.281,12,36.0,42,0.86,0,0.37,4.21,0.144,21.2,0.244
73,2,3,정성훈,KIA,0.312,114,385,340,65,106,19,3,9.0,158,39,5,3,2002,14.0,1,4,43,5,0.362,0.292,0.654,16,0.318,0.167,19,101.0,60,1.68,0,0.33,3.68,0.116,28.7,0.222
74,3,4,신동주,KIA,0.311,81,273,244,34,76,9,1,7.0,108,33,0,2,2002,67.0,4,6,55,11,0.420,0.361,0.781,17,0.267,0.333,34,90.0,151,0.60,0,1.22,4.20,0.175,62.8,0.267
75,4,5,이종범,KIA,0.293,123,546,485,93,142,25,2,18.0,225,59,4,1,2002,44.0,2,3,51,8,0.286,0.310,0.596,25,0.204,0.0,14,138.0,138,1.00,0,0.86,3.71,0.052,42.4,0.211
76,5,6,김종국,KIA,0.287,133,595,527,95,151,26,3,8.0,207,53,3,1,2002,3.0,0,1,21,1,0.281,0.262,0.543,2,0.1,0.235,2,13.0,11,1.18,0,0.14,3.80,0.070,3.9,0.188
