,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
17,18,박우호,현대,0.200,0,0,1,3,0,0.200,0.273,0.473,0,0.000,0.143,2002,KBO 정규시즌
18,19,김민우,현대,0.195,5,0,0,20,0,0.293,0.277,0.570,0,0.200,0.500,2002,KBO 정규시즌
19,20,조승현,현대,0.163,2,0,1,18,1,0.326,0.217,0.543,0,0.308,0.250,2002,KBO 정규시즌
20,21,정수성,현대,0.154,1,0,1,4,0,0.154,0.267,0.421,0,0.000,0.000,2002,KBO 정규시즌
21,22,이용주,현대,0.150,2,0,0,4,1,0.300,0.227,0.527,1,0.200,0.000,2002,KBO 정규시즌
22,23,서한규,현대,0.130,3,0,0,8,2,0.196,0.184,0.380,0,0.154,0.000,2002,KBO 정규시즌
23,24,서성민,현대,0.109,2,0,1,16,1,0.174,0.163,0.337,0,0.000,0.040,2002,KBO 정규시즌
24,25,김필중,현대,0.000,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
25,25,배힘찬,현대,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
26,25,이대환,현대,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,25,전준호,현대,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
28,25,조용준,현대,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
0,1,윤태수,두산,0.333,0,0,0,0,0,0.667,0.333,1.000,0,0.000,0.500,2002,KBO 정규시즌
1,2,김동주,두산,0.318,52,2,13,61,8,0.557,0.405,0.962,32,0.283,0.250,2002,KBO 정규시즌
2,3,송원국,두산,0.308,5,0,0,14,0,0.523,0.357,0.880,3,0.381,0.368,2002,KBO 정규시즌
3,4,강인권,두산,0.294,4,0,0,10,0,0.314,0.345,0.659,3,0.235,0.000,2002,KBO 정규시즌
4,5,홍성흔,두산,0.289,37,1,5,63,17,0.454,0.350,0.804,32,0.321,0.000,2002,KBO 정규시즌
5,6,안경현,두산,0.288,44,0,5,65,13,0.403,0.349,0.752,40,0.244,0.000,2002,KBO 정규시즌
6,7,장원진,두산,0.275,31,0,3,65,10,0.322,0.324,0.646,30,0.190,0.375,2002,KBO 정규시즌
7,8,최경환,두산,0.274,26,1,6,66,5,0.434,0.330,0.764,27,0.295,0.167,2002,KBO 정규시즌
8,9,김호,두산,0.262,10,1,0,31,4,0.372,0.305,0.677,6,0.167,0.429,2002,KBO 정규시즌
9,10,우즈,두산,0.256,50,3,5,123,11,0.499,0.339,0.838,24,0.320,0.000,2002,KBO 정규시즌
10,11,강봉규,두산,0.250,16,1,2,43,4,0.394,0.324,0.718,9,0.350,0.281,2002,KBO 정규시즌
11,12,전상렬,두산,0.246,14,1,4,43,5,0.362,0.292,0.654,16,0.318,0.167,2002,KBO 정규시즌
12,13,심재학,두산,0.245,67,4,6,55,11,0.420,0.361,0.781,17,0.267,0.333,2002,KBO 정규시즌
13,14,정수근,두산,0.235,44,2,3,51,8,0.286,0.310,0.596,25,0.204,0.000,2002,KBO 정규시즌
14,15,유재웅,두산,0.211,3,0,1,21,1,0.281,0.262,0.543,2,0.100,0.235,2002,KBO 정규시즌
15,16,홍원기,두산,0.171,15,1,2,36,5,0.224,0.242,0.466,2,0.179,0.400,2002,KBO 정규시즌
16,17,김민호,두산,0.156,12,0,3,39,4,0.225,0.223,0.448,2,0.083,1.000,2002,KBO 정규시즌
17,18,문희성,두산,0.125,3,0,0,6,0,0.125,0.263,0.388,0,0.200,0.000,2002,KBO 정규시즌
18,19,고영민,두산,0.100,0,0,0,1,0,0.100,0.100,0.200,0,0.000,0.000,2002,KBO 정규시즌
19,20,이종민,두산,0.091,1,0,0,1,0,0.091,0.167,0.258,0,0.000,0.000,2002,KBO 정규시즌
20,21,김성균,두산,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
21,21,김학재,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
22,21,레스,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
23,21,이경환,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
24,21,이상훈,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
25,21,이재영,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
26,21,이혜천,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,21,진필중,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
28,21,차명주,두산,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
0,1,김재구,SK,0.429,1,0,0,3,1,0.643,0.467,1.110,0,0.200,0.400,2002,KBO 정규시즌
1,2,이진영,SK,0.308,42,3,5,57,7,0.492,0.375,0.867,36,0.193,0.500,2002,KBO 정규시즌
2,3,안재만,SK,0.294,2,0,1,4,0,0.529,0.400,0.929,1,0.000,0.000,2002,KBO 정규시즌
3,4,채종범,SK,0.291,47,1,18,70,17,0.446,0.374,0.820,38,0.377,0.000,2002,KBO 정규시즌
4,5,이호준,SK,0.288,45,3,4,75,12,0.507,0.358,0.865,34,0.291,0.286,2002,KBO 정규시즌
5,6,잉글린,SK,0.282,23,0,5,47,5,0.427,0.351,0.778,16,0.295,0.143,2002,KBO 정규시즌
6,7,정경배,SK,0.281,9,0,6,37,4,0.405,0.341,0.746,8,0.324,0.136,2002,KBO 정규시즌
7,8,페르난데스,SK,0.281,49,2,7,114,8,0.599,0.353,0.952,42,0.303,0.000,2002,KBO 정규시즌
