,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,년도,경기타입
19,20,황일권,OB,0.214,11,30,28,6,1,0,0,1,0,0,2,0,7,2,1,1994,KBO 정규시즌
20,21,강영수,OB,0.213,66,193,169,36,6,0,4,19,1,1,18,1,37,8,1,1994,KBO 정규시즌
21,22,공유선,OB,0.206,13,38,34,7,1,0,1,3,0,0,3,0,9,0,0,1994,KBO 정규시즌
22,23,윤기수,OB,0.186,49,69,59,11,0,0,0,1,2,2,4,2,13,1,4,1994,KBO 정규시즌
23,24,박종무,OB,0.176,8,21,17,3,0,0,0,0,3,0,3,0,5,0,0,1994,KBO 정규시즌
24,25,길랑균,OB,0.167,8,6,6,1,0,0,0,0,0,0,0,0,3,0,0,1994,KBO 정규시즌
25,26,심정수,OB,0.164,32,66,61,10,4,0,3,9,0,0,2,2,15,1,1,1994,KBO 정규시즌
26,27,함석원,OB,0.15,14,20,20,3,1,0,0,1,0,1,0,0,4,0,0,1994,KBO 정규시즌
27,28,김명호,OB,0.133,8,15,15,2,0,0,0,1,0,0,0,0,4,0,0,1994,KBO 정규시즌
28,29,김정규,OB,0.125,11,17,16,2,0,0,0,0,0,0,0,0,3,0,1,1994,KBO 정규시즌
29,30,최영술,OB,0.115,17,30,26,3,0,0,0,1,3,2,4,0,0,0,1,1994,KBO 정규시즌
0,1,강광회,쌍방울,0.333,18,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1994,KBO 정규시즌
1,2,김기태,쌍방울,0.316,108,454,376,119,20,4,25,79,9,10,74,2,70,10,0,1994,KBO 정규시즌
2,3,박노준,쌍방울,0.303,108,391,340,103,15,1,3,36,42,15,32,7,25,2,3,1994,KBO 정규시즌
3,4,박철우,쌍방울,0.291,89,197,179,52,9,0,2,25,0,1,15,2,34,2,2,1994,KBO 정규시즌
4,5,백인수,쌍방울,0.281,108,398,356,100,17,0,7,49,3,0,27,4,30,9,11,1994,KBO 정규시즌
5,6,조원우,쌍방울,0.274,86,247,223,61,5,1,4,13,15,6,12,1,15,4,0,1994,KBO 정규시즌
6,7,길홍규,쌍방울,0.273,103,227,205,56,7,0,1,24,5,4,14,1,32,7,1,1994,KBO 정규시즌
7,8,김주성,쌍방울,0.258,66,95,89,23,3,1,0,8,0,0,5,0,17,3,8,1994,KBO 정규시즌
8,9,최태원,쌍방울,0.248,118,446,383,95,13,2,1,27,31,12,40,13,46,5,5,1994,KBO 정규시즌
9,10,송태일,쌍방울,0.245,113,403,371,91,19,1,15,55,4,2,22,1,56,11,6,1994,KBO 정규시즌
10,11,김광림,쌍방울,0.24,119,444,388,93,15,4,4,31,20,7,39,1,49,5,4,1994,KBO 정규시즌
11,12,박경완,쌍방울,0.238,102,274,240,57,8,2,14,31,0,2,25,5,75,3,6,1994,KBO 정규시즌
12,13,신경식,쌍방울,0.22,94,249,227,50,14,1,2,26,2,0,10,0,13,6,3,1994,KBO 정규시즌
13,14,이군옥,쌍방울,0.2,8,10,10,2,0,1,0,0,0,0,0,0,2,2,0,1994,KBO 정규시즌
14,14,최동창,쌍방울,0.2,10,15,10,2,0,0,0,0,0,0,4,1,4,0,1,1994,KBO 정규시즌
15,16,한혁수,쌍방울,0.199,74,162,141,28,4,0,1,4,0,2,13,0,23,2,4,1994,KBO 정규시즌
16,17,전종화,쌍방울,0.188,49,91,80,15,2,0,3,10,1,0,8,1,22,3,3,1994,KBO 정규시즌
17,18,김충민,쌍방울,0.178,67,117,107,19,1,0,4,14,6,0,7,0,22,3,3,1994,KBO 정규시즌
18,19,윤재호,쌍방울,0.175,94,210,183,32,4,0,0,11,6,2,13,5,21,4,8,1994,KBO 정규시즌
19,20,정기창,쌍방울,0.173,26,55,52,9,3,1,1,7,1,1,3,0,25,1,0,1994,KBO 정규시즌
20,21,유태준,쌍방울,0.167,5,6,6,1,0,0,0,0,0,0,0,0,1,0,0,1994,KBO 정규시즌
21,22,강효섭,쌍방울,0.16,30,27,25,4,0,0,0,1,3,0,2,0,6,0,3,1994,KBO 정규시즌
22,23,이연수,쌍방울,0.159,28,52,44,7,1,0,0,4,0,2,5,0,5,1,1,1994,KBO 정규시즌
23,24,윤혁,쌍방울,0.111,11,10,9,1,0,0,0,0,0,0,0,0,4,0,0,1994,KBO 정규시즌
24,24,장채근,쌍방울,0.111,30,56,54,6,0,0,1,4,0,1,2,0,10,1,0,1994,KBO 정규시즌
25,26,장재중,쌍방울,0.091,10,11,11,1,0,0,0,0,0,0,0,0,5,0,1,1994,KBO 정규시즌
26,27,김성,쌍방울,0.083,22,12,12,1,0,0,0,0,2,0,0,0,3,0,0,1994,KBO 정규시즌
27,28,이상대,쌍방울,0.054,27,48,37,2,0,1,0,0,1,0,7,1,7,2,1,1994,KBO 정규시즌
28,29,강석,쌍방울,0.0,7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1994,KBO 정규시즌
29,29,박상수,쌍방울,0.0,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,1994,KBO 정규시즌
0,1,김종석,OB,0.299,116,433,395,118,26,8,4,56,5,2,33,2,41,12,6,1995,KBO 정규시즌
1,2,이명수,OB,0.290,111,431,383,111,11,1,9,32,1,4,37,4,55,9,8,1995,KBO 정규시즌
2,3,이도형,OB,0.290,95,307,283,82,12,0,14,48,1,1,17,3,53,9,5,1995,KBO 정규시즌
3,4,김민호,OB,0.288,113,455,400,115,24,3,2,30,47,17,37,5,58,3,14,1995,KBO 정규시즌
4,5,심정수,OB,0.282,116,405,362,102,19,0,21,59,4,2,29,8,78,6,2,1995,KBO 정규시즌
5,6,김종성,OB,0.281,26,34,32,9,1,0,1,3,2,4,1,0,11,1,0,1995,KBO 정규시즌
6,7,안경현,OB,0.280,103,299,268,75,10,3,5,38,0,1,19,2,34,6,15,1995,KBO 정규시즌
7,8,김상호,OB,0.272,126,565,504,137,23,2,25,101,10,7,45,6,113,6,8,1995,KBO 정규시즌
8,9,김형석,OB,0.270,121,464,423,114,29,2,10,68,2,1,32,1,71,16,2,1995,KBO 정규시즌
9,10,장원진,OB,0.260,123,439,393,102,15,2,9,58,8,6,32,5,53,4,3,1995,KBO 정규시즌
10,11,임형석,OB,0.240,82,287,250,60,9,0,3,35,7,0,30,2,48,7,14,1995,KBO 정규시즌
11,12,소상영,OB,0.238,30,72,63,15,3,1,1,7,0,0,6,0,15,1,3,1995,KBO 정규시즌
12,13,김태형,OB,0.216,93,215,194,42,12,0,1,19,1,1,7,3,26,4,7,1995,KBO 정규시즌
13,14,추성건,OB,0.216,36,47,37,8,1,1,1,3,5,0,9,0,15,2,1,1995,KBO 정규시즌
14,15,정수근,OB,0.214,117,178,154,33,3,1,0,10,25,9,15,6,24,2,1,1995,KBO 정규시즌
15,16,윤기수,OB,0.200,51,51,45,9,1,1,0,2,0,2,1,0,5,2,0,1995,KBO 정규시즌
16,17,김광현,OB,0.176,11,18,17,3,1,2,0,2,0,0,1,0,5,1,0,1995,KBO 정규시즌
17,18,강형석,OB,0.172,28,33,29,5,1,0,0,2,1,0,4,0,6,2,0,1995,KBO 정규시즌
18,19,김정규,OB,0.143,12,7,7,1,0,0,0,0,0,0,0,0,1,1,1,1995,KBO 정규시즌
19,20,박현영,OB,0.141,54,101,92,13,2,1,0,12,2,1,2,5,23,5,4,1995,KBO 정규시즌
20,21,권명철,OB,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 정규시즌
21,21,김경원,OB,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 정규시즌
22,21,서석영,OB,0.000,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 정규시즌
23,21,송명철,OB,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,KBO 정규시즌
24,21,이보형,OB,0.000,5,5,5,0,0,0,0,0,0,0,0,0,3,0,0,1995,KBO 정규시즌
25,21,전형도,OB,0.000,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1995,KBO 정규시즌
26,21,함석원,OB,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,KBO 정규시즌
0,1,김민호,OB,0.387,7,33,31,12,2,0,0,2,6,1,2,0,5,0,1,1995,KBO 한국시리즈
1,2,이명수,OB,0.333,7,30,24,8,1,1,0,3,2,0,5,0,3,0,0,1995,KBO 한국시리즈
2,2,정수근,OB,0.333,5,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1995,KBO 한국시리즈
3,4,김상호,OB,0.31,7,31,29,9,2,0,0,4,1,0,2,0,7,0,0,1995,KBO 한국시리즈
4,5,장원진,OB,0.292,7,28,24,7,2,0,0,1,0,0,2,2,2,1,1,1995,KBO 한국시리즈
