,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,년도,경기타입,SB,CS,BB,HBP,SO,GDP,E
5,6,신경현,한화,0.267,107,331,296,27,79,16,3,3,110,41,5,2,2008,KBO 시범경기,,,,,,,
6,7,김태완,한화,0.266,124,450,383,44,102,16,0,23,187,73,0,6,2008,KBO 시범경기,,,,,,,
7,8,정범모,한화,0.250,3,5,4,1,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
8,9,클락,한화,0.246,125,546,472,96,116,25,3,22,213,79,1,5,2008,KBO 시범경기,,,,,,,
9,10,연경흠,한화,0.245,45,121,106,13,26,5,2,4,47,9,1,2,2008,KBO 시범경기,,,,,,,
10,10,추승우,한화,0.245,119,419,371,53,91,13,3,0,110,20,7,1,2008,KBO 시범경기,,,,,,,
11,12,김민재,한화,0.241,114,397,357,26,86,13,0,5,114,35,7,1,2008,KBO 시범경기,,,,,,,
12,13,오재필,한화,0.228,50,62,57,8,13,2,0,0,15,2,2,0,2008,KBO 시범경기,,,,,,,
13,14,이도형,한화,0.224,54,71,67,2,15,1,0,2,22,16,0,1,2008,KBO 시범경기,,,,,,,
14,15,고동진,한화,0.218,31,97,87,14,19,5,0,0,24,5,4,0,2008,KBO 시범경기,,,,,,,
15,16,한상훈,한화,0.217,122,360,314,29,68,13,2,0,85,32,10,2,2008,KBO 시범경기,,,,,,,
16,17,이희근,한화,0.210,84,135,119,6,25,3,0,0,28,9,4,1,2008,KBO 시범경기,,,,,,,
17,18,윤재국,한화,0.210,55,169,143,25,30,7,1,0,39,9,3,0,2008,KBO 시범경기,,,,,,,
18,19,이여상,한화,0.208,94,192,173,19,36,8,0,2,50,15,4,0,2008,KBO 시범경기,,,,,,,
19,20,조원우,한화,0.200,5,5,5,0,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
20,21,김수연,한화,0.167,9,20,18,1,3,0,0,0,3,0,0,0,2008,KBO 시범경기,,,,,,,
21,22,오선진,한화,0.133,46,31,30,3,4,1,0,0,5,1,0,0,2008,KBO 시범경기,,,,,,,
22,23,김혁민,한화,0.000,3,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
23,23,마정길,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
24,23,백승룡,한화,0.000,2,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
25,23,양훈,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
26,23,윤규진,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
27,23,정현석,한화,0.000,11,8,7,1,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
28,23,최진행,한화,0.000,3,4,4,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
29,23,토마스,한화,0.000,7,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
0,1,최연오,한화,0.500,2,2,2,,1,0,0,0,,2,,,2008,KBO 와일드카드,0,0,0,0,1,0,0
1,2,이여상,한화,0.400,10,15,15,,6,2,0,0,,1,,,2008,KBO 와일드카드,0,1,0,0,2,0,1
2,3,추승우,한화,0.391,12,27,23,,9,0,1,0,,0,,,2008,KBO 와일드카드,2,1,2,0,4,1,1
3,4,김태완,한화,0.375,10,27,24,,9,1,0,1,,3,,,2008,KBO 와일드카드,0,0,2,1,2,2,0
4,5,김태균,한화,0.351,11,42,37,,13,2,0,4,,9,,,2008,KBO 와일드카드,0,0,3,2,5,1,1
5,6,이희근,한화,0.333,9,13,12,,4,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,1,2,0,0
6,7,김수연,한화,0.310,13,45,42,,13,0,0,0,,2,,,2008,KBO 와일드카드,1,1,2,0,2,1,0
7,8,이영우,한화,0.300,8,20,20,,6,1,0,0,,1,,,2008,KBO 와일드카드,0,1,0,0,3,0,0
8,9,한상훈,한화,0.289,13,42,38,,11,3,0,0,,3,,,2008,KBO 와일드카드,1,1,4,0,6,1,0
9,10,이도형,한화,0.280,11,27,25,,7,0,0,0,,3,,,2008,KBO 와일드카드,0,0,1,0,5,1,0
10,11,이범호,한화,0.275,13,44,40,,11,2,0,2,,3,,,2008,KBO 와일드카드,0,0,4,0,3,2,0
11,12,클락,한화,0.270,12,45,37,,10,0,0,3,,8,,,2008,KBO 와일드카드,0,1,8,0,5,1,0
12,13,김민재,한화,0.261,8,25,23,,6,3,1,0,,4,,,2008,KBO 와일드카드,0,0,2,0,1,2,0
13,14,오선진,한화,0.222,6,9,9,,2,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,2,0,1
14,15,조원우,한화,0.176,10,19,17,,3,0,0,0,,0,,,2008,KBO 와일드카드,0,0,1,0,2,0,1
15,16,송광민,한화,0.167,6,7,6,,1,1,0,0,,0,,,2008,KBO 와일드카드,0,0,1,0,3,0,1
16,17,연경흠,한화,0.158,8,19,19,,3,2,0,0,,2,,,2008,KBO 와일드카드,0,0,0,0,4,1,0
17,18,박노민,한화,0.154,7,13,13,,2,1,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,3,1,1
18,18,백승룡,한화,0.154,11,15,13,,2,1,0,0,,1,,,2008,KBO 와일드카드,0,1,0,2,1,1,0
19,20,윤재국,한화,0.133,6,15,15,,2,1,0,0,,2,,,2008,KBO 와일드카드,0,0,0,0,1,1,0
20,21,고동진,한화,0.000,7,4,4,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,1,0,0,1,0,0
21,21,김강,한화,0.000,1,1,1,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,1,0,0
22,21,신경현,한화,0.000,4,2,2,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,1,0
23,21,오재필,한화,0.000,3,1,1,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,1,0,0
24,21,정범모,한화,0.000,1,3,3,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,1,0,0
25,21,최진행,한화,0.000,1,1,1,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,1,0,1
26,21,토마스,한화,-,1,0,0,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
0,30,디아즈,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
1,30,심재학,KIA,0.000,1,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
2,30,진해수,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
3,30,한기주,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
0,1,이용규,KIA,0.312,106,473,417,62,130,24,6,0,166,38,6,0,2008,KBO 시범경기,,,,,,,
1,2,박진영,KIA,0.308,10,27,26,3,8,0,0,0,8,0,0,0,2008,KBO 시범경기,,,,,,,
2,3,김원섭,KIA,0.305,106,404,344,55,105,14,4,0,127,30,4,2,2008,KBO 시범경기,,,,,,,
3,4,장성호,KIA,0.304,85,352,293,39,89,17,1,7,129,46,0,3,2008,KBO 시범경기,,,,,,,
4,5,나지완,KIA,0.295,73,239,200,25,59,12,1,6,91,30,1,4,2008,KBO 시범경기,,,,,,,
5,6,최경환,KIA,0.291,65,142,127,18,37,10,1,1,52,15,1,1,2008,KBO 시범경기,,,,,,,
6,7,이종범,KIA,0.284,110,362,317,38,90,19,4,1,120,38,9,3,2008,KBO 시범경기,,,,,,,
7,8,이재주,KIA,0.276,87,314,261,37,72,15,0,12,123,58,0,5,2008,KBO 시범경기,,,,,,,
8,9,김상훈,KIA,0.267,35,94,86,8,23,3,0,2,32,9,1,1,2008,KBO 시범경기,,,,,,,
9,10,이현곤,KIA,0.257,112,435,393,33,101,19,2,2,130,40,4,4,2008,KBO 시범경기,,,,,,,
10,11,김선빈,KIA,0.255,112,322,278,39,71,2,2,0,77,24,10,2,2008,KBO 시범경기,,,,,,,
11,12,차일목,KIA,0.246,106,314,264,35,65,11,1,2,84,31,17,2,2008,KBO 시범경기,,,,,,,
12,13,김종국,KIA,0.233,113,346,300,33,70,16,3,1,95,26,10,1,2008,KBO 시범경기,,,,,,,
13,14,최희섭,KIA,0.229,55,207,188,17,43,2,1,6,65,22,0,1,2008,KBO 시범경기,,,,,,,
14,15,김주형,KIA,0.226,62,156,146,10,33,8,0,2,47,12,0,2,2008,KBO 시범경기,,,,,,,
15,16,발데스,KIA,0.218,47,176,156,17,34,9,1,1,48,16,9,1,2008,KBO 시범경기,,,,,,,
16,17,이호신,KIA,0.212,10,38,33,4,7,2,0,0,9,1,4,0,2008,KBO 시범경기,,,,,,,
17,18,김경언,KIA,0.200,8,20,20,0,4,0,0,0,4,2,0,0,2008,KBO 시범경기,,,,,,,
18,18,김주현,KIA,0.200,2,5,5,0,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
19,18,유용목,KIA,0.200,6,5,5,0,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
20,21,채종범,KIA,0.197,70,166,147,13,29,3,1,4,46,16,3,1,2008,KBO 시범경기,,,,,,,
21,22,이영수,KIA,0.156,15,38,32,1,5,0,0,0,5,2,0,0,2008,KBO 시범경기,,,,,,,
22,23,류은재,KIA,0.148,13,29,27,2,4,0,0,0,4,0,0,0,2008,KBO 시범경기,,,,,,,
23,24,안재만,KIA,0.143,3,7,7,0,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
24,25,김형철,KIA,0.125,45,41,40,4,5,0,0,0,5,1,0,0,2008,KBO 시범경기,,,,,,,
25,26,강동우,KIA,0.100,45,52,40,8,4,1,0,0,5,5,2,1,2008,KBO 시범경기,,,,,,,
26,27,이성우,KIA,0.097,39,37,31,2,3,0,0,1,6,3,3,1,2008,KBO 시범경기,,,,,,,
27,28,최용규,KIA,0.094,20,37,32,2,3,0,0,0,3,0,2,0,2008,KBO 시범경기,,,,,,,
28,29,송산,KIA,0.053,14,22,19,0,1,1,0,0,2,1,1,0,2008,KBO 시범경기,,,,,,,
29,30,고우석,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
0,1,김원섭,KIA,0.500,3,10,8,,4,1,0,0,,0,,,2008,KBO 와일드카드,1,0,1,1,1,0,0
1,2,김상훈,KIA,0.400,6,13,10,,4,0,0,0,,3,,,2008,KBO 와일드카드,0,0,3,0,2,0,0
2,3,김선빈,KIA,0.393,13,30,28,,11,2,1,0,,7,,,2008,KBO 와일드카드,1,1,1,0,2,1,1
3,4,장성호,KIA,0.353,7,19,17,,6,1,1,1,,3,,,2008,KBO 와일드카드,0,0,2,0,1,1,0
4,5,이현곤,KIA,0.333,11,37,30,,10,2,0,1,,6,,,2008,KBO 와일드카드,0,1,7,0,2,1,0
5,5,최희섭,KIA,0.333,7,26,24,,8,3,0,2,,8,,,2008,KBO 와일드카드,0,0,2,0,5,0,0
6,7,나지완,KIA,0.318,12,49,44,,14,2,0,2,,7,,,2008,KBO 와일드카드,1,2,2,2,7,1,0
7,8,채종범,KIA,0.308,11,32,26,,8,0,1,1,,6,,,2008,KBO 와일드카드,0,2,6,0,1,1,0
8,9,이성우,KIA,0.286,9,16,14,,4,0,0,1,,1,,,2008,KBO 와일드카드,0,0,2,0,0,0,0
9,10,발데스,KIA,0.267,9,36,30,,8,1,0,0,,1,,,2008,KBO 와일드카드,10,0,5,0,2,1,2
10,10,최경환,KIA,0.267,6,15,15,,4,1,0,0,,2,,,2008,KBO 와일드카드,1,0,0,0,0,0,0
11,12,유용목,KIA,0.250,5,4,4,,1,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,2,0,0
12,13,권윤민,KIA,0.200,2,6,5,,1,0,0,0,,0,,,2008,KBO 와일드카드,0,0,1,0,1,0,0
13,13,류은재,KIA,0.200,10,11,5,,1,0,0,1,,1,,,2008,KBO 와일드카드,1,1,4,2,2,0,0
14,13,이용규,KIA,0.200,3,10,10,,2,0,0,0,,0,,,2008,KBO 와일드카드,1,0,0,0,0,0,0
15,16,김종국,KIA,0.190,9,25,21,,4,1,0,0,,4,,,2008,KBO 와일드카드,0,1,3,0,4,1,0
16,17,강동우,KIA,0.171,12,37,35,,6,0,0,1,,1,,,2008,KBO 와일드카드,3,1,2,0,2,0,0
17,18,송산,KIA,0.167,6,14,12,,2,0,0,0,,0,,,2008,KBO 와일드카드,0,0,2,0,2,0,0
18,18,차일목,KIA,0.167,11,21,18,,3,1,0,0,,2,,,2008,KBO 와일드카드,1,1,3,0,4,1,0
19,20,이종범,KIA,0.152,10,33,33,,5,1,0,0,,3,,,2008,KBO 와일드카드,0,0,0,0,4,1,0
20,21,최용규,KIA,0.133,10,16,15,,2,0,0,0,,0,,,2008,KBO 와일드카드,5,1,0,1,4,1,1
21,22,심재학,KIA,0.118,10,20,17,,2,0,0,0,,0,,,2008,KBO 와일드카드,0,0,2,1,5,0,0
22,23,김주형,KIA,0.083,9,27,24,,2,0,0,0,,0,,,2008,KBO 와일드카드,0,0,2,1,5,0,0
23,24,곽정철,KIA,-,1,0,0,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
24,24,김정수,KIA,0.000,1,2,2,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
25,24,안재만,KIA,0.000,2,2,2,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,2,0,0
26,24,이강서,KIA,-,1,0,0,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
27,24,임준혁,KIA,-,1,0,0,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
28,24,한기주,KIA,-,1,0,0,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
0,28,노환수,우리,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
1,28,다카쓰,우리,-,3,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
2,28,민태호,우리,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
3,28,박승민,우리,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
4,28,배힘찬,우리,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
5,28,송신영,우리,-,3,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
6,28,스코비,우리,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
7,28,이정호,우리,-,3,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
8,28,이현승,우리,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
9,28,장민석,우리,0.000,9,4,4,1,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
10,28,전민수,우리,0.000,11,16,14,0,0,0,0,0,0,1,0,0,2008,KBO 정규시즌,,,,,,,
11,28,전준호,우리,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
12,28,정종수,우리,0.000,1,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
13,28,조순권,우리,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
14,28,조용훈,우리,-,5,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
15,28,지석훈,우리,0.000,12,11,9,1,0,0,0,0,0,0,1,0,2008,KBO 정규시즌,,,,,,,
16,28,황두성,우리,-,3,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
0,1,이택근,우리,0.317,110,428,372,59,118,19,1,12,175,58,1,3,2008,KBO 시범경기,,,,,,,
1,2,전준호,우리,0.310,114,391,352,44,109,16,5,1,138,24,1,2,2008,KBO 시범경기,,,,,,,
2,3,브룸바,우리,0.293,102,420,358,39,105,17,0,13,161,61,0,4,2008,KBO 시범경기,,,,,,,
3,4,송지만,우리,0.280,118,451,414,48,116,18,0,13,173,62,0,4,2008,KBO 시범경기,,,,,,,
4,5,조중근,우리,0.279,31,69,68,7,19,6,0,1,28,9,0,0,2008,KBO 시범경기,,,,,,,
5,6,김남형,우리,0.273,21,25,22,4,6,1,0,0,7,3,2,0,2008,KBO 시범경기,,,,,,,
6,7,김일경,우리,0.271,70,187,166,16,45,9,0,2,60,13,6,0,2008,KBO 시범경기,,,,,,,
7,8,강정호,우리,0.271,116,408,362,36,98,18,1,8,142,47,7,3,2008,KBO 시범경기,,,,,,,
8,9,정성훈,우리,0.270,109,399,355,43,96,21,2,3,130,34,2,1,2008,KBO 시범경기,,,,,,,
9,10,이숭용,우리,0.270,109,375,333,37,90,10,0,3,109,27,0,1,2008,KBO 시범경기,,,,,,,
10,11,강병식,우리,0.269,71,141,119,12,32,8,0,4,52,17,3,2,2008,KBO 시범경기,,,,,,,
11,12,유재신,우리,0.258,54,97,93,19,24,2,1,0,28,7,2,0,2008,KBO 시범경기,,,,,,,
12,13,정수성,우리,0.252,76,139,127,27,32,6,2,1,45,14,3,2,2008,KBO 시범경기,,,,,,,
13,14,차화준,우리,0.250,3,9,8,2,2,1,0,0,3,0,0,0,2008,KBO 시범경기,,,,,,,
14,14,허준,우리,0.250,15,16,16,1,4,0,0,1,7,1,0,0,2008,KBO 시범경기,,,,,,,
15,16,강귀태,우리,0.249,104,286,261,19,65,6,2,4,87,22,6,5,2008,KBO 시범경기,,,,,,,
16,17,김동수,우리,0.239,94,180,159,15,38,7,2,1,52,23,3,2,2008,KBO 시범경기,,,,,,,
17,18,황재균,우리,0.239,117,333,306,27,73,10,1,1,88,18,7,2,2008,KBO 시범경기,,,,,,,
18,19,전근표,우리,0.224,32,59,49,6,11,0,0,1,14,4,0,0,2008,KBO 시범경기,,,,,,,
19,20,조재호,우리,0.223,49,103,94,7,21,5,0,0,26,8,1,1,2008,KBO 시범경기,,,,,,,
20,21,권도영,우리,0.221,84,150,136,18,30,6,1,1,41,9,2,1,2008,KBO 시범경기,,,,,,,
21,22,오윤,우리,0.200,31,34,30,5,6,1,1,0,9,3,0,0,2008,KBO 시범경기,,,,,,,
22,22,이성재,우리,0.200,7,11,10,0,2,1,0,0,3,0,0,0,2008,KBO 시범경기,,,,,,,
23,24,최현종,우리,0.125,18,39,32,2,4,1,0,0,5,1,3,0,2008,KBO 시범경기,,,,,,,
24,25,유선정,우리,0.077,15,14,13,0,1,0,0,0,1,2,1,0,2008,KBO 시범경기,,,,,,,
25,26,조평호,우리,0.067,14,17,15,1,1,0,0,0,1,1,0,0,2008,KBO 시범경기,,,,,,,
26,27,김민우,우리,0.056,16,20,18,3,1,1,0,0,2,2,0,0,2008,KBO 시범경기,,,,,,,
27,28,김성현,우리,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
28,28,김수경,우리,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
29,28,김세현,우리,0.000,1,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
0,26,오상민,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
1,26,오태근,LG,0.000,7,11,9,0,0,0,0,0,0,1,0,0,2008,KBO 정규시즌,,,,,,,
2,26,우규민,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
3,26,이범준,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
4,26,이재영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
5,26,정재복,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 정규시즌,,,,,,,
0,1,서성종,LG,1.000,1,1,1,1,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
1,2,김광삼,LG,0.385,13,13,13,0,5,1,0,0,6,1,0,0,2008,KBO 시범경기,,,,,,,
2,3,페타지니,LG,0.347,68,259,216,29,75,17,1,7,115,35,0,1,2008,KBO 시범경기,,,,,,,
3,4,김태군,LG,0.333,6,3,3,0,1,0,0,0,1,0,0,0,2008,KBO 시범경기,,,,,,,
4,4,임도현,LG,0.333,15,7,6,4,2,1,0,0,3,0,0,0,2008,KBO 시범경기,,,,,,,
5,6,김정민,LG,0.303,71,178,155,11,47,6,0,1,56,17,5,1,2008,KBO 시범경기,,,,,,,
6,7,안치용,LG,0.295,101,421,370,46,109,27,3,7,163,52,3,9,2008,KBO 시범경기,,,,,,,
7,8,김준호,LG,0.267,29,46,45,6,12,1,1,1,18,7,1,0,2008,KBO 시범경기,,,,,,,
8,8,손인호,LG,0.267,77,152,135,13,36,7,0,0,43,17,2,3,2008,KBO 시범경기,,,,,,,
9,10,최동수,LG,0.265,110,431,381,32,101,15,0,14,158,62,5,5,2008,KBO 시범경기,,,,,,,
10,11,이대형,LG,0.264,126,574,523,71,138,5,2,0,147,33,9,1,2008,KBO 시범경기,,,,,,,
11,12,박경수,LG,0.259,116,444,367,46,95,11,1,8,132,43,23,10,2008,KBO 시범경기,,,,,,,
12,13,박용택,LG,0.257,96,374,334,39,86,12,2,2,108,32,2,3,2008,KBO 시범경기,,,,,,,
13,14,김상현,LG,0.243,75,243,214,28,52,9,2,8,89,18,5,2,2008,KBO 시범경기,,,,,,,
14,15,서동욱,LG,0.243,27,82,70,9,17,1,1,3,29,9,0,0,2008,KBO 시범경기,,,,,,,
15,16,김태완,LG,0.242,37,82,66,10,16,2,1,0,20,1,5,1,2008,KBO 시범경기,,,,,,,
16,17,이종열,LG,0.232,81,303,271,24,63,7,3,1,79,26,4,6,2008,KBO 시범경기,,,,,,,
17,18,이병규,LG,0.231,33,86,78,7,18,6,1,1,29,9,1,0,2008,KBO 시범경기,,,,,,,
18,19,권용관,LG,0.228,76,230,206,15,47,6,2,1,60,14,12,3,2008,KBO 시범경기,,,,,,,
19,20,조인성,LG,0.227,102,353,330,25,75,18,1,10,125,49,1,4,2008,KBO 시범경기,,,,,,,
20,21,박용근,LG,0.197,93,180,157,20,31,5,1,1,41,5,5,0,2008,KBO 시범경기,,,,,,,
21,22,채종국,LG,0.195,55,43,41,6,8,0,0,0,8,1,0,0,2008,KBO 시범경기,,,,,,,
22,23,정의윤,LG,0.192,38,90,78,8,15,1,0,0,16,3,1,0,2008,KBO 시범경기,,,,,,,
23,24,김용우,LG,0.154,25,31,26,2,4,1,0,1,8,4,0,1,2008,KBO 시범경기,,,,,,,
24,24,김용의,LG,0.154,18,32,26,8,4,0,0,0,4,1,0,0,2008,KBO 시범경기,,,,,,,
25,26,경헌호,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
26,26,김민기,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
27,26,김수형,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
28,26,김회권,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
29,26,서건창,LG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,2008,KBO 시범경기,,,,,,,
0,1,김태군,LG,1.000,5,2,2,,2,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
1,2,박용택,LG,0.357,12,48,42,,15,3,0,1,,10,,,2008,KBO 와일드카드,4,1,5,0,7,0,0
2,3,이대형,LG,0.344,11,35,32,,11,0,0,0,,2,,,2008,KBO 와일드카드,3,1,1,1,6,0,0
3,4,김용의,LG,0.333,9,16,15,,5,1,0,0,,2,,,2008,KBO 와일드카드,3,0,0,1,3,1,0
4,5,박경수,LG,0.304,12,27,23,,7,2,0,0,,6,,,2008,KBO 와일드카드,1,0,3,0,5,0,0
5,6,조인성,LG,0.286,3,7,7,,2,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,1,0,0
6,7,서동욱,LG,0.263,9,23,19,,5,2,0,0,,0,,,2008,KBO 와일드카드,0,0,2,2,5,0,0
7,8,이종열,LG,0.261,10,30,23,,6,3,0,0,,2,,,2008,KBO 와일드카드,0,0,6,0,0,1,0
8,9,김정민,LG,0.231,7,14,13,,3,0,0,0,,1,,,2008,KBO 와일드카드,0,0,1,0,0,2,0
9,10,김준호,LG,0.190,11,23,21,,4,1,0,0,,3,,,2008,KBO 와일드카드,0,0,2,0,7,0,0
10,11,최동수,LG,0.188,10,38,32,,6,2,0,0,,6,,,2008,KBO 와일드카드,0,0,4,1,2,4,0
11,12,오태근,LG,0.182,8,12,11,,2,1,0,0,,1,,,2008,KBO 와일드카드,2,0,1,0,2,0,0
12,13,김상현,LG,0.161,10,36,31,,5,1,0,0,,2,,,2008,KBO 와일드카드,1,1,3,1,5,3,1
13,14,김용우,LG,0.154,10,14,13,,2,0,0,0,,1,,,2008,KBO 와일드카드,0,0,1,0,2,0,0
14,15,권용관,LG,0.138,10,34,29,,4,1,1,0,,5,,,2008,KBO 와일드카드,0,2,2,2,7,1,1
15,16,정의윤,LG,0.077,10,26,26,,2,1,0,0,,1,,,2008,KBO 와일드카드,0,0,0,0,3,2,0
16,17,박용근,LG,0.071,11,20,14,,1,0,0,0,,0,,,2008,KBO 와일드카드,1,0,5,1,5,0,0
17,18,김광삼,LG,0.000,1,1,1,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,1,0,0
18,18,우규민,LG,-,2,0,0,,0,0,0,0,,0,,,2008,KBO 와일드카드,0,0,0,0,0,0,0
0,1,최경환,KIA,0.500,5,3,2,,1,0,1,0,,0,,,2009,KBO 정규시즌,0,0,1,0,0,0,0
1,2,최희섭,KIA,0.320,7,29,25,,8,1,0,0,,5,,,2009,KBO 정규시즌,0,0,4,0,5,0,0
2,3,이현곤,KIA,0.316,7,23,19,,6,1,0,1,,1,,,2009,KBO 정규시즌,0,0,4,0,2,0,0
3,4,안치홍,KIA,0.286,7,21,21,,6,0,0,1,,2,,,2009,KBO 정규시즌,2,0,0,0,5,0,0
4,5,김원섭,KIA,0.280,7,30,25,,7,1,0,0,,1,,,2009,KBO 정규시즌,0,0,3,0,6,0,0
5,6,나지완,KIA,0.250,7,25,20,,5,0,0,2,,4,,,2009,KBO 정규시즌,0,0,3,0,5,0,0
6,7,이종범,KIA,0.238,7,25,21,,5,0,0,0,,4,,,2009,KBO 정규시즌,0,0,4,0,3,0,1
7,8,김상현,KIA,0.217,7,28,23,,5,0,0,1,,5,,,2009,KBO 정규시즌,1,2,4,0,6,0,1
8,9,이용규,KIA,0.190,7,26,21,,4,0,0,0,,1,,,2009,KBO 정규시즌,3,1,3,1,4,0,1
9,10,장성호,KIA,0.167,4,6,6,,1,0,0,0,,0,,,2009,KBO 정규시즌,0,0,0,0,2,2,0
10,11,차일목,KIA,0.143,5,8,7,,1,0,0,0,,0,,,2009,KBO 정규시즌,0,0,0,1,2,2,0
11,12,김상훈,KIA,0.111,7,20,18,,2,0,0,0,,1,,,2009,KBO 정규시즌,0,0,1,0,5,1,0
12,13,김종국,KIA,-,5,0,0,,0,0,0,0,,0,,,2009,KBO 정규시즌,0,0,0,0,0,0,0
13,13,박기남,KIA,-,3,0,0,,0,0,0,0,,0,,,2009,KBO 정규시즌,0,0,0,0,0,0,0
14,13,이재주,KIA,0.000,4,6,5,,0,0,0,0,,0,,,2009,KBO 정규시즌,0,0,1,0,1,0,0
